"E3.5_ICM_R1"	"E3.5_ICM_R2"	"E3.5_ICM_R3"	"E4.5_EPI_R1"	"E4.5_EPI_R2"	"E4.5_EPI_R3"	"E5.5_EPI_R1"	"E5.5_EPI_R2"	"E5.5_EPI_R3"
"ENSMUSG00000088153"	0	1	0	0	2	0	0	0	0
"ENSMUSG00000102556"	7	7	3	0	3	3	1	4	1
"ENSMUSG00000042501"	1	2	0	0	4	3	0	1	0
"ENSMUSG00000103810"	2	0	0	0	3	2	2	1	1
"ENSMUSG00000083422"	2996	1362	1394	498	1383	2862	1398	1518	408
"ENSMUSG00000094979"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000081417"	16	18	0	0	1	5	0	2	3
"ENSMUSG00000103448"	6	3	1	2	0	1	2	0	2
"ENSMUSG00000100212"	1	2	0	0	0	0	0	16	11
"ENSMUSG00000100648"	404	261	271	116	360	641	345	411	261
"ENSMUSG00000088585"	0	0	1	0	0	0	1	1	1
"ENSMUSG00000048960"	6146	3964	3414	1372	4170	8556	6171	7061	3607
"ENSMUSG00000077318"	2	0	0	1	0	0	0	0	0
"ENSMUSG00000101827"	11	9	8	2	16	32	26	47	9
"ENSMUSG00000103494"	4	3	2	1	4	7	0	3	1
"ENSMUSG00000057715"	18	19	174	5	17	21	76	20	140
"ENSMUSG00000103825"	227	286	23	114	194	161	164	683	20
"ENSMUSG00000099845"	15	5	3	3	12	15	15	11	4
"ENSMUSG00000103561"	5	22	2	14	11	8	5	11	2
"ENSMUSG00000101610"	251	207	339	141	334	371	277	176	159
"ENSMUSG00000093864"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000098555"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000097628"	67	32	43	64	117	248	185	199	156
"ENSMUSG00000098163"	1	1	2	4	5	2	9	6	6
"ENSMUSG00000097171"	7	5	0	1	7	6	3	6	3
"ENSMUSG00000101314"	2	0	1	0	1	2	0	0	1
"ENSMUSG00000016918"	11	12	2	106	1278	31	952	1863	2832
"ENSMUSG00000025938"	23	30	82	4	25	27	504	10	91
"ENSMUSG00000104518"	1	1	0	0	1	0	0	0	0
"ENSMUSG00000069620"	226	204	434	377	827	2327	111	140	34
"ENSMUSG00000099498"	0	10	55	10	1	0	0	0	0
"ENSMUSG00000042414"	2161	2398	2489	4180	316	631	1	22	2
"ENSMUSG00000005886"	585	640	1502	1250	1471	583	2229	1107	4632
"ENSMUSG00000103506"	185	184	99	75	263	613	84	58	22
"ENSMUSG00000103495"	3	3	0	1	1	0	0	0	3
"ENSMUSG00000099183"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102639"	2	2	0	0	0	0	0	0	1
"ENSMUSG00000104170"	6	4	2	0	3	11	2	2	2
"ENSMUSG00000087782"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103085"	63	38	12	6	27	41	29	94	10
"ENSMUSG00000102664"	52	6	1	1	7	9	5	58	2
"ENSMUSG00000101476"	0	0	0	0	1	0	0	0	0
"ENSMUSG00000101171"	17	23	6	5	8	11	4	9	3
"ENSMUSG00000025935"	14083	16954	11734	3846	6694	14653	7907	5568	14542
"ENSMUSG00000025937"	11431	13223	17748	3763	3096	18089	1349	1140	4000
"ENSMUSG00000102982"	560	546	77	221	267	263	191	209	70
"ENSMUSG00000067813"	8	4	408	364	1070	3	2	1	3
"ENSMUSG00000077368"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000097711"	71	66	45	119	212	318	272	295	339
"ENSMUSG00000102166"	15	5	1	2	6	19	10	6	8
"ENSMUSG00000089358"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000104209"	1	2	0	0	3	3	1	2	0
"ENSMUSG00000025932"	227	125	307	460	4	5	3	1	148
"ENSMUSG00000095853"	0	0	0	0	0	0	1	2	0
"ENSMUSG00000102588"	6	1	0	2	1	4	4	2	0
"ENSMUSG00000054493"	25	12	543	6	26	35	23	18	11
"ENSMUSG00000025930"	3232	7030	4324	10	0	1	40	0	169
"ENSMUSG00000103492"	21	15	17	2	32	30	23	22	116
"ENSMUSG00000081201"	27	19	42	22	91	109	64	41	56
"ENSMUSG00000082193"	6773	6159	8096	3847	10640	20348	12273	11724	4700
"ENSMUSG00000032769"	1132	88	738	3	5	9	70	217	67
"ENSMUSG00000088159"	0	0	0	2	1	0	0	0	0
"ENSMUSG00000073737"	176	243	257	346	713	1231	1110	1207	677
"ENSMUSG00000092083"	35	27	113	6	27	23	14	13	7
"ENSMUSG00000102937"	4	1	1	1	6	1	0	7	2
"ENSMUSG00000104149"	6	6	1	0	4	4	0	2	1
"ENSMUSG00000088829"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000077377"	0	0	0	0	1	0	0	0	0
"ENSMUSG00000101652"	77	47	24	13	58	93	51	68	36
"ENSMUSG00000100814"	49	10	38	13	23	93	80	76	28
"ENSMUSG00000025925"	5132	6855	9353	6138	12508	18426	5453	4288	12805
"ENSMUSG00000104379"	103	0	1	0	0	0	10	0	0
"ENSMUSG00000032719"	352	4	295	0	0	0	1	0	0
"ENSMUSG00000088943"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000100652"	170	99	63	67	119	307	135	129	52
"ENSMUSG00000067795"	210	242	928	5	6	14	13	9	2
"ENSMUSG00000043716"	179269	207798	590820	106766	174740	480812	364461	257248	445387
"ENSMUSG00000025921"	2988	1371	6229	70	812	2991	921	141	832
"ENSMUSG00000104165"	9	2	2	4	10	5	4	3	0
"ENSMUSG00000100868"	21	10	10	1	5	8	3	5	4
"ENSMUSG00000025920"	20	1715	1283	375	603	1044	456	1075	1001
"ENSMUSG00000089982"	1	1	2	0	3	3	1	3	5
"ENSMUSG00000025939"	120	6	4115	412	656	1575	2288	791	2260
"ENSMUSG00000102457"	2	4	1	0	2	1	0	1	4
